institution_code,standard_institution_code,institution_name,normalized_name,aliases,ministry,institution_type,institution_classification,sido,sigungu
C0124,,주택관리공단(주),주택관리공단,주택관리공단,,기타공공기관,기타,,
C0061,,주택도시보증공사,주택도시보증공사,,,공기업(준시장형),금융,,
C0129,,중소기업기술정보진흥원,중소기업기술정보진흥원,,,기타공공기관,산업진흥정보화,,
C0127,,중소기업은행,중소기업은행,,,기타공공기관,금융,,
C0884,,중소벤처기업연구원,중소벤처기업연구원,,,기타공공기관,연구교육,,
C0130,,중소벤처기업진흥공단,중소벤처기업진흥공단,,,준정부기관(기금관리형),산업진흥정보화,,
C1378,,중앙사회서비스원,중앙사회서비스원,,,기타공공기관,SOC,,
C1330,,차세대수치예보모델개발사업단,차세대수치예보모델개발사업단,,,기타공공기관,연구교육,,
C0451,,창업진흥원,창업진흥원,,,기타공공기관,기타,,
C0134,,축산물품질평가원,축산물품질평가원,,,준정부기관(위탁집행형),농림수산환경,,
C0135,,충남대학교병원,충남대학교병원,대병원|충남대병원,,기타공공기관,고용보건복지,,
C0136,,충북대학교병원,충북대학교병원,대병원|충북대병원,,기타공공기관,고용보건복지,,
C0314,,코레일관광개발(주),코레일관광개발,코레일관광개발,,기타공공기관,기타,,
C0327,,코레일네트웍스(주),코레일네트웍스,코레일네트웍스,,기타공공기관,SOC,,
C0140,,코레일로지스(주),코레일로지스,코레일로지스,,기타공공기관,SOC,,
C0272,,코레일유통(주),코레일유통,코레일유통,,기타공공기관,SOC,,
C0387,,코레일테크(주),코레일테크,코레일테크,,기타공공기관,기타,,
C0409,,태권도진흥재단,태권도진흥재단,,,기타공공기관,문화예술외교법무,,
C0141,,통일연구원,통일연구원,,,기타공공기관,문화예술외교법무,,
C0144,,학교법인한국폴리텍,한국폴리텍,,,기타공공기관,연구교육,,
C0147,,한국가스공사,한국가스공사,,,공기업(시장형),에너지,,
C0148,,한국가스안전공사,한국가스안전공사,,,준정부기관(위탁집행형),에너지,,
C0151,,한국개발연구원,한국개발연구원,,,기타공공기관,연구교육,,
C0845,,한국건강가정진흥원,한국건강가정진흥원,,,기타공공기관,고용보건복지,,
C0854,,한국건강증진개발원,한국건강증진개발원,,,기타공공기관,연구교육,,
C1319,,한국고용노동교육원,한국고용노동교육원,,,기타공공기관,기타,,
C0321,,한국고용정보원,한국고용정보원,,,준정부기관(위탁집행형),고용보건복지,,
C0067,,한국고전번역원,한국고전번역원,,,기타공공기관,연구교육,,
C0452,,한국공예디자인문화진흥원,한국공예디자인문화진흥원,,,기타공공기관,문화예술외교법무,,
C0655,,한국공정거래조정원,한국공정거래조정원,,,기타공공기관,문화예술외교법무,,
C0157,,한국공항공사,한국공항공사,,,공기업(시장형),SOC,,
C0158,,한국과학기술기획평가원,한국과학기술기획평가원,,,기타공공기관,연구교육,,
C0163,,한국과학창의재단,한국과학창의재단,,,기타공공기관,연구교육,,
C0165,,한국관광공사,한국관광공사,,,준정부기관(위탁집행형),문화예술외교법무,,
C1400,,한국관세정보원,한국관세정보원,,,기타공공기관,SOC,,
C1364,,한국광해광업공단,한국광해광업공단,,,공기업(준시장형),에너지,,
C0167,,한국교육개발원,한국교육개발원,,,기타공공기관,연구교육,,
C0168,,한국교육과정평가원,한국교육과정평가원,,,기타공공기관,연구교육,,
C0145,,한국교육학술정보원,한국교육학술정보원,,,기타공공기관,연구교육,,
C0019,,한국교통안전공단,한국교통안전공단,,,준정부기관(위탁집행형),SOC,,
C0170,,한국교통연구원,한국교통연구원,,,기타공공기관,연구교육,,
C0171,,한국국방연구원,한국국방연구원,,,기타공공기관,연구교육,,
C0172,,한국국제교류재단,한국국제교류재단,,,기타공공기관,문화예술외교법무,,
C0379,,한국국제보건의료재단,한국국제보건의료재단,,,기타공공기관,고용보건복지,,
C0146,,한국국제협력단,한국국제협력단,,,준정부기관(위탁집행형),문화예술외교법무,,
C0062,,한국국토정보공사,한국국토정보공사,,,준정부기관(위탁집행형),SOC,,
C0864,,한국기상산업기술원,한국기상산업기술원,,,기타공공기관,산업진흥정보화,,
C0175,,한국기술교육대학교,한국기술교육대학교,,,기타공공기관,연구교육,,
C0631,,한국나노기술원,한국나노기술원,,,기타공공기관,연구교육,,
C0042,,한국남동발전(주),한국남동발전,한국남동발전,,공기업(시장형),에너지,,
C0043,,한국남부발전(주),한국남부발전,한국남부발전,,공기업(시장형),에너지,,
C0179,,한국노동연구원,한국노동연구원,,,기타공공기관,연구교육,,
C0378,,한국노인인력개발원,한국노인인력개발원,,,기타공공기관,고용보건복지,,
C0045,,한국농수산식품유통공사,한국농수산식품유통공사,,,준정부기관(위탁집행형),농림수산환경,,
